encoding,food_count,food_pattern,grid,episode,reward,score,steps,win
basic,1,center_biased,6x6,151,570.2608396586982,6,23,0
basic,1,center_biased,6x6,152,439.4365836812716,5,20,0
basic,1,center_biased,6x6,153,233.01260060821085,4,14,0
basic,1,center_biased,6x6,154,438.1724170146049,5,21,0
basic,1,center_biased,6x6,155,565.7758396586981,6,29,0
basic,1,center_biased,6x6,156,568.8811174364758,6,30,0
basic,1,center_biased,6x6,157,871.0339529578152,8,28,0
basic,1,center_biased,6x6,158,712.3785720814278,7,20,0
basic,1,center_biased,6x6,159,-450.26555555555547,0,216,0
basic,1,center_biased,6x6,160,710.902183192539,7,35,0
basic,1,center_biased,6x6,161,567.7283396586981,6,25,0
basic,1,center_biased,6x6,162,865.4336751800374,8,39,0
basic,1,center_biased,6x6,163,571.5463952142536,6,20,0
basic,1,center_biased,6x6,164,-450.26555555555547,0,216,0
basic,1,center_biased,6x6,165,707.2371831925391,7,29,0
basic,1,center_biased,6x6,166,443.14991701460497,5,22,0
basic,1,center_biased,6x6,167,863.6472862911487,8,20,0
basic,1,center_biased,6x6,168,708.4969054147612,7,29,0
basic,1,center_biased,6x6,169,439.5004725701606,5,15,0
basic,1,center_biased,6x6,170,568.9980618809204,6,24,0
basic,1,center_biased,6x6,171,234.19898949709977,4,18,0
basic,1,center_biased,6x6,172,435.5721392368272,5,27,0
basic,1,center_biased,6x6,173,227.94176727487752,4,19,0
basic,1,center_biased,6x6,174,567.7833396586982,6,22,0
basic,1,center_biased,6x6,175,711.053572081428,7,25,0
basic,1,center_biased,6x6,176,707.2299609703168,7,30,0
basic,1,center_biased,6x6,177,710.9149609703168,7,34,0
basic,1,center_biased,6x6,178,437.027417014605,5,13,0
basic,1,center_biased,6x6,179,712.1507943036502,7,35,0
basic,1,center_biased,6x6,180,707.1074609703169,7,36,0
basic,1,center_biased,6x6,181,-449.09888888888884,0,216,0
basic,1,center_biased,6x6,182,713.3202387480944,7,40,0
basic,1,center_biased,6x6,183,443.2007503479383,5,19,0
